harp_num,t_rec,noaa_num,latdtmin,londtmin,latdtmax,londtmax
12,2010.05.11_02:00:00_TAI,11068,-23.5504,8.4547,-16.6392,24.332399
12,2010.05.10_22:00:00_TAI,11068,-23.5504,6.2287,-16.6392,22.1064
12,2010.05.10_23:00:00_TAI,11068,-23.5504,6.7852,-16.6392,22.662901
12,2010.05.09_14:00:00_TAI,11068,-23.5504,-11.5791,-16.6392,4.2986
12,2010.05.09_13:00:00_TAI,11068,-23.5504,-12.1356,-16.6392,3.7421
12,2010.05.03_11:00:00_TAI,11068,-23.5504,-93.384003,-16.6392,-77.506302
12,2010.05.05_12:00:00_TAI,11068,-23.5504,-66.1157,-16.6392,-50.237999
12,2010.05.09_12:00:00_TAI,11068,-23.5504,-12.6921,-16.6392,3.1856
12,2010.05.08_03:00:00_TAI,11068,-23.5504,-31.056499,-16.6392,-15.1788
12,2010.05.09_11:00:00_TAI,11068,-23.5504,-13.2486,-16.6392,2.6291
12,2010.05.11_01:00:00_TAI,11068,-23.5504,7.8982,-16.6392,23.7759
12,2010.05.09_10:00:00_TAI,11068,-23.5504,-13.8051,-16.6392,2.0726
12,2010.05.09_09:00:00_TAI,11068,-23.5504,-14.3616,-16.6392,1.5161
12,2010.05.03_12:00:00_TAI,11068,-23.5504,-92.827499,-16.6392,-76.949799
12,2010.05.03_13:00:00_TAI,11068,-23.5504,-92.271004,-16.6392,-76.393303
12,2010.05.09_08:00:00_TAI,11068,-23.5504,-14.9181,-16.6392,0.9596
12,2010.05.09_07:00:00_TAI,11068,-23.5504,-15.4746,-16.6392,0.4031
12,2010.05.11_00:00:00_TAI,11068,-23.5504,7.3417,-16.6392,23.2194
12,2010.05.05_13:00:00_TAI,11068,-23.5504,-65.559196,-16.6392,-49.681499
12,2010.05.05_06:00:00_TAI,11068,-23.5504,-69.454697,-16.6392,-53.577
12,2010.05.04_01:00:00_TAI,11068,-23.5504,-85.593002,-16.6392,-69.715302
12,2010.05.13_06:00:00_TAI,11068,-23.5504,37.392399,-16.6392,53.2701
12,2010.05.04_15:00:00_TAI,11068,-23.5504,-77.802101,-16.6392,-61.9244
12,2010.05.06_21:00:00_TAI,11068,-23.5504,-47.751301,-16.6392,-31.8736
12,2010.05.06_22:00:00_TAI,11068,-23.5504,-47.194801,-16.6392,-31.317101
12,2010.05.05_23:00:00_TAI,11068,-23.5504,-59.994202,-16.6392,-44.116501
12,2010.05.13_02:00:00_TAI,11068,-23.5504,35.1665,-16.6392,51.044201
12,2010.05.06_23:00:00_TAI,11068,-23.5504,-46.638401,-16.6392,-30.7607
12,2010.05.13_01:00:00_TAI,11068,-23.5504,34.610001,-16.6392,50.487701
12,2010.05.04_14:00:00_TAI,11068,-23.5504,-78.358597,-16.6392,-62.4809
12,2010.05.07_00:00:00_TAI,11068,-23.5504,-46.081902,-16.6392,-30.204201
