Events,EName,Start,Stop,peak,GOES Class,Derived Position,flare_24h,longitude
20,gev_20151004_0234,2015-10-04 02:34:00,02:48:00,02:41:00,M1.0,S18W78(2422),0,0
1,gev_20151002_0006,2015-10-02 00:06:00,00:17:00,00:13:00,M5.5,S20W67(2422),0,0
11,gev_20151002_1219,2015-10-02 12:19:00,12:31:00,12:26:00,M1.0,S20W73(2422),0,0
14,gev_20151002_1708,2015-10-02 17:08:00,17:23:00,17:18:00,M1.0,S21W78(2422),0,0
9,gev_20151001_1303,2015-10-01 13:03:00,13:14:00,13:10:00,M4.5,S20W60(2422),0,0
12,gev_20151002_0006,2015-10-02 00:06:00,00:17:00,00:13:00,M5.5,S20W67(2422),0,0
2,gev_20150929_1109,2015-09-29 11:09:00,11:20:00,11:15:00,M1.6,S20W39(2422),0,0
5,gev_20150929_1920,2015-09-29 19:20:00,19:27:00,19:24:00,M1.1,S15W44(2422),0,0
11,gev_20150930_1049,2015-09-30 10:49:00,11:13:00,10:59:00,M1.3,S20W50(2422),0,0
13,gev_20150930_1318,2015-09-30 13:18:00,13:21:00,13:20:00,M1.1,S20W55(2422),0,0
1,gev_20150929_0311,2015-09-29 03:11:00,03:31:00,03:16:00,M1.2,S09W80(2423),0,0
2,gev_20150929_0341,2015-09-29 03:41:00,03:53:00,03:43:00,M1.1,S09W88(2423),0,0
4,gev_20150929_0505,2015-09-29 05:05:00,05:23:00,05:16:00,M2.9,S20W36(2422),0,0
5,gev_20150929_0533,2015-09-29 05:33:00,05:39:00,05:37:00,M1.2,S09W80(2423),0,0
6,gev_20150929_0553,2015-09-29 05:53:00,06:04:00,05:56:00,M1.0,S19W37(2422),0,0
8,gev_20150929_0639,2015-09-29 06:39:00,06:46:00,06:43:00,M1.4,S20W38(2422),0,0
9,gev_20150929_0846,2015-09-29 08:46:00,08:55:00,08:51:00,M1.3,S19W39(2422),0,0
12,gev_20150929_1109,2015-09-29 11:09:00,11:20:00,11:15:00,M1.6,S20W39(2422),0,0
15,gev_20150929_1920,2015-09-29 19:20:00,19:27:00,19:24:00,M1.1,S15W44(2422),0,0
1,gev_20150928_1301,2015-09-28 13:01:00,13:29:00,13:17:00,M1.1,S22W25(2422),0,0
3,gev_20150928_1453,2015-09-28 14:53:00,15:03:00,14:58:00,M7.6,S20W28(2422),0,0
11,gev_20150929_0311,2015-09-29 03:11:00,03:31:00,03:16:00,M1.2,S09W80(2423),0,0
12,gev_20150929_0341,2015-09-29 03:41:00,03:53:00,03:43:00,M1.1,S09W88(2423),0,0
14,gev_20150929_0505,2015-09-29 05:05:00,05:23:00,05:16:00,M2.9,S20W36(2422),0,0
15,gev_20150929_0533,2015-09-29 05:33:00,05:39:00,05:37:00,M1.2,S09W80(2423),0,0
16,gev_20150929_0553,2015-09-29 05:53:00,06:04:00,05:56:00,M1.0,S19W37(2422),0,0
18,gev_20150929_0639,2015-09-29 06:39:00,06:46:00,06:43:00,M1.4,S20W38(2422),0,0
19,gev_20150929_0846,2015-09-29 08:46:00,08:55:00,08:51:00,M1.3,S19W39(2422),0,0
1,gev_20150927_1020,2015-09-27 10:20:00,10:46:00,10:40:00,M1.9,S10W57(2423),0,0
12,gev_20150927_2054,2015-09-27 20:54:00,21:15:00,21:00:00,M1.0,S21W15(2422),0,0
14,gev_20150928_0345,2015-09-28 03:45:00,03:59:00,03:55:00,M3.6,S08W71(2423),0,0
19,gev_20150928_0727,2015-09-28 07:27:00,07:46:00,07:34:00,M1.1,S21W22(2422),0,0
20,gev_20150927_1020,2015-09-27 10:20:00,10:46:00,10:40:00,M1.9,S10W57(2423),0,0
2,gev_20150920_0455,2015-09-20 04:55:00,05:17:00,05:03:00,M1.5,N09E83(2420),0,0
8,gev_20150920_1732,2015-09-20 17:32:00,18:29:00,18:01:00,M2.1,S22W50(2415),0,0
6,gev_20150920_0455,2015-09-20 04:55:00,05:17:00,05:03:00,M1.5,N09E83(2420),0,0
12,gev_20150920_1732,2015-09-20 17:32:00,18:29:00,18:01:00,M2.1,S22W50(2415),0,0
8,gev_20150920_0455,2015-09-20 04:55:00,05:17:00,05:03:00,M1.5,N09E83(2420),0,0
14,gev_20150920_1732,2015-09-20 17:32:00,18:29:00,18:03:00,M2.1,S22W50(2415),0,0
20,gev_20150920_0455,2015-09-20 04:55:00,05:17:00,05:03:00,M1.5,N09E83,0,0
2,gev_20150917_0934,2015-09-17 09:34:00,09:45:00,09:40:00,M1.1,S19W05(2415),0,0
13,gev_20150917_0934,2015-09-17 09:34:00,09:45:00,09:40:00,M1.1,S19W05(2415),0,0
20,gev_20150917_0934,2015-09-17 09:34:00,09:45:00,09:40:00,M1.1,S19W05(2415),0,0
1,gev_20150830_0201,2015-08-30 02:01:00,03:30:00,03:30:00,M1.4,S17W80(2403),0,0
7,gev_20150830_0201,2015-08-30 02:01:00,03:30:00,03:30:00,M1.4,S17W80(2403),0,0
11,gev_20150830_0201,2015-08-30 02:01:00,03:30:00,03:30:00,M1.4,S17W80(2403),0,0
3,gev_20150828_1856,2015-08-28 18:56:00,19:06:00,19:03:00,M2.1,S14W70(2403),0,0
15,gev_20150830_0201,2015-08-30 02:01:00,03:30:00,03:30:00,M1.4,S17W80(2403),0,0
5,gev_20150828_1856,2015-08-28 18:56:00,19:06:00,19:03:00,M2.1,S14W70(2403),0,0
17,gev_20150830_0201,2015-08-30 02:01:00,03:30:00,03:30:00,M1.4,S17W80(2403),0,0
6,gev_20150828_1856,2015-08-28 18:56:00,19:06:00,19:03:00,M2.1,S14W70(2403),0,0
18,gev_20150830_0201,2015-08-30 02:01:00,03:30:00,03:30:00,M1.4,S17W80(2403),0,0
1,gev_20150828_1304,2015-08-28 13:04:00,13:23:00,13:16:00,M2.2,S14W66(2403),0,0
7,gev_20150828_1856,2015-08-28 18:56:00,19:06:00,19:03:00,M2.1,S14W70(2403),0,0
19,gev_20150830_0201,2015-08-30 02:01:00,03:30:00,03:30:00,M1.4,S17W80(2403),0,0
9,gev_20150828_1304,2015-08-28 13:04:00,13:23:00,13:16:00,M2.2,S14W66(2403),0,0
15,gev_20150828_1856,2015-08-28 18:56:00,19:06:00,19:03:00,M2.1,S14W70(2403),0,0
13,gev_20150827_0448,2015-08-27 04:48:00,06:03:00,05:44:00,M2.9,S14W49(2403),0,0
20,gev_20150827_0448,2015-08-27 04:48:00,06:03:00,05:44:00,M2.9,S14W49(2403),0,0
5,gev_20150824_1740,2015-08-24 17:40:00,17:49:00,17:46:00,M1.0,S14W04(2403),0,0
